"P001001","P006001","P006002","P006003","P006005","P006008","P007010","H011001","H011002","H011003","H011004","H011006","H011009","P148B009","P148D017","PCT038016","PCT038017","PCT038018","PCT038019","NAME","state","county",
"62110","62110","44216","14892","177","870","3354","23087","17813","13832","3502","29","178","125","17","208","35","71","89","Harrison County","48","203",
"5537","5537","4514","438","6","110","763","1604","1226","1193","2","0","13","0","0","38","0","4","3","Hartley County","48","205",
"6093","6093","5033","194","9","110","1256","2569","2028","1818","29","0","30","6","0","19","10","2","7","Haskell County","48","207",
"97589","97589","76822","3589","851","2500","28738","33410","21680","18622","392","67","455","29","40","769","418","264","147","Hays County","48","209",
"3351","3351","2955","31","2","34","506","1280","990","918","0","0","2","0","0","9","6","7","2","Hemphill County","48","211",
"73277","73277","64780","4802","209","1022","4946","28804","23036","21250","1051","59","241","16","6","263","119","45","78","Henderson County","48","213",
"569463","569463","442579","2777","3156","11906","503526","156824","114570","92837","230","592","2458","76","211","1576","549","466","542","Hidalgo County","48","215",
"32321","32321","27244","2419","64","537","4343","12204","9149","8341","404","13","103","6","2","86","25","23","30","Hill County","48","217",
"22716","22716","16919","773","58","473","8453","7994","5949","4876","118","8","98","12","0","60","14","25","22","Hockley County","48","219",
"41100","41100","38883","26","118","522","2872","16176","13134","12676","6","30","188","7","15","244","92","82","75","Hood County","48","221",
"31960","31960","27124","2415","103","498","2960","12286","8770","7913","551","7","80","10","0","132","30","47","65","Hopkins County","48","223",
"23185","23185","15773","6513","42","177","1759","8259","6283","4900","1272","2","25","221","0","45","42","12","21","Houston County","48","225",
"33627","33627","27010","1370","127","715","12630","11389","7918","6796","208","2","129","5","0","101","58","17","30","Howard County","48","227",
"3344","3344","2917","15","5","64","2523","1092","884","766","6","0","24","0","0","3","10","2","0","Hudspeth County","48","229",
"76596","76596","63951","7126","557","1442","6271","28742","20532","18499","1149","40","319","34","14","316","137","86","125","Hunt County","48","231",
"23857","23857","20790","524","49","626","3451","9283","7320","6642","126","5","138","0","0","165","45","25","6","Hutchinson County","48","233",
"1771","1771","1588","9","0","43","437","694","539","488","4","0","12","0","0","8","0","4","5","Irion County","48","235",
"8763","8763","7720","535","31","69","694","3047","2341","2230","21","4","27","31","0","19","2","0","15","Jack County","48","237",
"14391","14391","11006","1094","33","533","3608","5336","3935","3327","241","9","66","0","8","40","19","16","9","Jackson County","48","239",
"35604","35604","27693","6351","130","453","1409","13450","10840","9145","1422","17","90","16","0","74","37","28","7","Jasper County","48","241",
